variable,value,Label
W14_Q74A5,0,Nicht genannt
W14_Q74A5,1,Genannt
W14_Q76,Variable Label,Aktuelles persoenliches Einkommen
W14_Q76,5,bis unter 1.050€
W14_Q76,6,1.050 bis unter 1.200€
W14_Q76,7,1.200 bis unter 1.350€
W14_Q76,8,1.350 bis unter 1.500€
W14_Q76,9,1.500 bis unter 1.650€
W14_Q76,10,1.650 bis unter 1.800€
W14_Q76,11,1.800 bis unter 1.950€
W14_Q76,12,1.950 bis unter 2.100€
W14_Q76,13,2.100 bis unter 2.250€
W14_Q76,14,2.250 bis unter 2.400€
W14_Q76,15,2.400 bis unter 2.700€
W14_Q76,16,2.700 bis unter 3.000€
W14_Q76,17,3.000 bis unter 3.300€
W14_Q76,18,3.300 und mehr
W14_Q76,99,Keine Angabe
W14_Q7A1,Variable Label,Personen im Haushalt: Partner(in)
W14_Q7A1,0,Nicht genannt
W14_Q7A1,1,Genannt
W14_Q7A2,Variable Label,Personen im Haushalt: Kinder 0-14 Jahre
W14_Q7A2,0,Nicht genannt
W14_Q7A2,1,Genannt
W14_Q7A3,Variable Label,Personen im Haushalt: Kinder aelter 14 Jahre
W14_Q7A3,0,Nicht genannt
W14_Q7A3,1,Genannt
W14_Q7A4,Variable Label,Personen im Haushalt: keine der Genannten
W14_Q7A4,0,Nicht genannt
W14_Q7A4,1,Genannt
W14_Q80,Variable Label,Aktuelles Haushaltseinkommen
W14_Q80,1,weniger als 1.100 Euro
W14_Q80,2,1.100 bis unter 1.500 Euro
W14_Q80,3,1.500 bis unter 1.800 Euro
W14_Q80,4,1.800 bis unter 2.200 Euro
W14_Q80,5,2.200 bis unter 2.700 Euro
W14_Q80,6,2.700 bis unter 3.100 Euro
W14_Q80,7,3.100 bis unter 3.700 Euro
W14_Q80,8,3.700 bis unter 4.300 Euro
W14_Q80,9,4.300 bis unter 5.500 Euro
W14_Q80,10,5.500 Euro und mehr
W14_Q80,99,keine Angabe
W14_Q81A1,Variable Label,"Auszahlung Unterstuetzung: unbuerokratisch, rechtzeitig (Kurzarbeit,etc.)"
W14_Q81A1,1,1 = Trifft voll und ganz zu
W14_Q81A1,2,2 = Trifft eher zu
W14_Q81A1,3,3 = Teils-teils
W14_Q81A1,4,4 = Trifft eher nicht zu
W14_Q81A1,5,5 = Trifft gar nicht zu
W14_Q81A1,88,Weiss nicht
W14_Q81A1,99,keine Angabe
W14_Q82A1,Variable Label,Auszahlung Unterstuetzung: unbuerokratisch und schnell
W14_Q82A1,1,1 = Trifft voll und ganz zu
W14_Q82A1,2,2 = Trifft eher zu
W14_Q82A1,3,3 = Teils-teils
W14_Q82A1,4,4 = Trifft eher nicht zu
W14_Q82A1,5,5 = Trifft gar nicht zu
W14_Q82A1,88,Weiss nicht
W14_Q82A1,99,keine Angabe
W14_Q82A2,Variable Label,Auszahlung Unterstuetzung: Erhalt ohne Anspruch
W14_Q82A2,1,1 = Trifft voll und ganz zu
W14_Q82A2,2,2 = Trifft eher zu
W14_Q82A2,3,3 = Teils-teils
W14_Q82A2,4,4 = Trifft eher nicht zu
W14_Q82A2,5,5 = Trifft gar nicht zu
W14_Q82A2,88,Weiss nicht
W14_Q82A2,99,keine Angabe
W14_Q83,Variable Label,Finanzielles Auskommen: Februar 2020
W14_Q83,1,sehr gut zurechtkommen
W14_Q83,2,gut zurechtkommen
W14_Q83,3,teils-teils
W14_Q83,4,nur schwer zurechtkommen
W14_Q83,5,nur sehr schwer zurechtkommen
W14_Q83,88,Weiss nicht
W14_Q83,99,keine Angabe
W14_Q84,Variable Label,Finanzielles Auskommen: Aktuell
W14_Q84,1,sehr gut zurechtkommen
W14_Q84,2,gut zurechtkommen
W14_Q84,3,teils-teils
W14_Q84,4,nur schwer zurechtkommen
W14_Q84,5,nur sehr schwer zurechtkommen
W14_Q84,88,Weiss nicht
W14_Q84,99,keine Angabe
W14_Q85A1,Variable Label,Wahrscheinlichkeit: Wieder Arbeit zu finden
W14_Q86A1,Variable Label,Wahrscheinlichkeit: Job zu verlieren
W14_Q87A1,Variable Label,Wahrscheinlichkeit: gewohnte Arbeit wieder aufnehmen
W14_Q88A1,Variable Label,Haushaltsgegenstaende: Gute Zeit zu kaufen
W14_Q88A1,1,1 = Sehr schlechter Zeitpunkt
W14_Q88A1,2,2 = Eher schlechter Zeitpunkt
W14_Q88A1,3,3 = Teils-teils
W14_Q88A1,4,4 = Eher guter Zeitpunkt
W14_Q88A1,5,5 = Sehr guter Zeitpunkt
W14_Q88A1,88,Weiss nicht
W14_Q88A2,Variable Label,Urlaub: Gute Zeit zu planen
W14_Q88A2,1,1 = Sehr schlechter Zeitpunkt
W14_Q88A2,2,2 = Eher schlechter Zeitpunkt
W14_Q88A2,3,3 = Teils-teils
W14_Q88A2,4,4 = Eher guter Zeitpunkt
W14_Q88A2,5,5 = Sehr guter Zeitpunkt
W14_Q88A2,88,Weiss nicht
W14_Q89A1,Variable Label,"Aussage: Bin bereit mehr zu konsumieren, um Wirtschaft wieder anzukurbeln"
W14_Q89A1,1,1 = Trifft voll und ganz zu
W14_Q89A1,2,2 = Trifft eher zu
W14_Q89A1,3,3 = Teils-teils
W14_Q89A1,4,4 = Trifft eher nicht zu
W14_Q89A1,5,5 = Trifft gar nicht zu
W14_Q89A1,88,Weiss nicht
W14_Q89A1,99,keine Angabe
W14_Q89A2,Variable Label,"Aussage: Bin bereit neue Dinge zu kaufen, damit Arbeitsplaetze erhalten bleiben"
W14_Q89A2,1,1 = Trifft voll und ganz zu
W14_Q89A2,2,2 = Trifft eher zu
W14_Q89A2,3,3 = Teils-teils
W14_Q89A2,4,4 = Trifft eher nicht zu
W14_Q89A2,5,5 = Trifft gar nicht zu
W14_Q89A2,88,Weiss nicht
W14_Q89A2,99,keine Angabe
W14_Q89A3,Variable Label,"Aussage: Ich moechte mehr sparen, denn man weiss nicht, was noch kommen wird."
W14_Q89A3,1,1 = Trifft voll und ganz zu
W14_Q89A3,2,2 = Trifft eher zu
W14_Q89A3,3,3 = Teils-teils
W14_Q89A3,4,4 = Trifft eher nicht zu
W14_Q89A3,5,5 = Trifft gar nicht zu
W14_Q89A3,88,Weiss nicht
W14_Q89A3,99,keine Angabe
W14_Q89A4,Variable Label,"Aussage: Ich belohne ich mich selbst, indem ich mir etwas Neues kaufe."
W14_Q89A4,1,1 = Trifft voll und ganz zu
W14_Q89A4,2,2 = Trifft eher zu
W14_Q89A4,3,3 = Teils-teils
W14_Q89A4,4,4 = Trifft eher nicht zu
W14_Q89A4,5,5 = Trifft gar nicht zu
W14_Q89A4,88,Weiss nicht
W14_Q89A4,99,keine Angabe
W14_Q89A5,Variable Label,"Aussage: Ich kaufe mir Dinge, die mir Freude machen."
W14_Q89A5,1,1 = Trifft voll und ganz zu
W14_Q89A5,2,2 = Trifft eher zu
W14_Q89A5,3,3 = Teils-teils
W14_Q89A5,4,4 = Trifft eher nicht zu
W14_Q89A5,5,5 = Trifft gar nicht zu
W14_Q89A5,88,Weiss nicht
W14_Q89A5,99,keine Angabe
W14_Q90A1,Variable Label,"Aussage: Ich versuche, weniger Dinge zu besitzen."
W14_Q90A1,1,1 = Trifft voll und ganz zu
W14_Q90A1,2,2 = Trifft eher zu
W14_Q90A1,3,3 = Teils-teils
W14_Q90A1,4,4 = Trifft eher nicht zu
W14_Q90A1,5,5 = Trifft gar nicht zu
W14_Q90A1,88,Weiss nicht
W14_Q90A1,99,keine Angabe
W14_Q90A2,Variable Label,Aussage: Ich will generell weniger kaufen.
W14_Q90A2,1,1 = Trifft voll und ganz zu
W14_Q90A2,2,2 = Trifft eher zu
W14_Q90A2,3,3 = Teils-teils
W14_Q90A2,4,4 = Trifft eher nicht zu
W14_Q90A2,5,5 = Trifft gar nicht zu
W14_Q90A2,88,Weiss nicht
W14_Q90A2,99,keine Angabe
W14_Q90A3,Variable Label,Aussage: Konsum und Besitz sind fuer erfuelltes Leben weniger wichtig
W14_Q90A3,1,1 = Trifft voll und ganz zu
W14_Q90A3,2,2 = Trifft eher zu
W14_Q90A3,3,3 = Teils-teils
W14_Q90A3,4,4 = Trifft eher nicht zu
W14_Q90A3,5,5 = Trifft gar nicht zu
W14_Q90A3,88,Weiss nicht
W14_Q90A3,99,keine Angabe
W14_Q90A4,Variable Label,"Aussage: Mache mir oft Gedanken, ob Andere mehr besitzen/schoenere Dinge haben"
W14_Q90A4,1,1 = Trifft voll und ganz zu
W14_Q90A4,2,2 = Trifft eher zu
W14_Q90A4,3,3 = Teils-teils
W14_Q90A4,4,4 = Trifft eher nicht zu
W14_Q90A4,5,5 = Trifft gar nicht zu
W14_Q90A4,88,Weiss nicht
W14_Q90A4,99,keine Angabe
W14_Q90A5,Variable Label,"Aussage: Mir ist es egal, ob andere Leute mehr oder bessere Dinge besitzen."
W14_Q90A5,1,1 = Trifft voll und ganz zu
W14_Q90A5,2,2 = Trifft eher zu
W14_Q90A5,3,3 = Teils-teils
W14_Q90A5,4,4 = Trifft eher nicht zu
W14_Q90A5,5,5 = Trifft gar nicht zu
W14_Q90A5,88,Weiss nicht
W14_Q90A5,99,keine Angabe
W14_Q91A1,Variable Label,Mediennutzung: Kronen Zeitung oder www.krone.at
W14_Q91A1,1,1 = Mehrmals taeglich
W14_Q91A1,2,2 = Einmal taeglich
W14_Q91A1,3,3 = Mehrmals in der Woche
W14_Q91A1,4,4 = Einmal in der Woche
W14_Q91A1,5,5 = Gar nicht/nie
W14_Q91A1,88,Weiss nicht
W14_Q91A1,99,keine Angabe
W14_Q91A2,Variable Label,Mediennutzung: Der Standard oder derstandard.at
W14_Q91A2,1,1 = Mehrmals taeglich
W14_Q91A2,2,2 = Einmal taeglich
W14_Q91A2,3,3 = Mehrmals in der Woche
W14_Q91A2,4,4 = Einmal in der Woche
W14_Q91A2,5,5 = Gar nicht/nie
W14_Q91A2,88,Weiss nicht
W14_Q91A2,99,keine Angabe
W14_Q91A3,Variable Label,Mediennutzung: Die Presse oder diepresse.com
W14_Q91A3,1,1 = Mehrmals taeglich
W14_Q91A3,2,2 = Einmal taeglich
W14_Q91A3,3,3 = Mehrmals in der Woche
W14_Q91A3,4,4 = Einmal in der Woche
W14_Q91A3,5,5 = Gar nicht/nie
W14_Q91A3,88,Weiss nicht
W14_Q91A3,99,keine Angabe
W14_Q91A4,Variable Label,Mediennutzung: Oesterreich oder oe24.at
W14_Q91A4,1,1 = Mehrmals taeglich
W14_Q91A4,2,2 = Einmal taeglich
W14_Q91A4,3,3 = Mehrmals in der Woche
W14_Q91A4,4,4 = Einmal in der Woche
W14_Q91A4,5,5 = Gar nicht/nie
W14_Q91A4,88,Weiss nicht
W14_Q91A4,99,keine Angabe
W14_Q91A5,Variable Label,Mediennutzung: Kurier oder kurier.at
W14_Q91A5,1,1 = Mehrmals taeglich
W14_Q91A5,2,2 = Einmal taeglich
W14_Q91A5,3,3 = Mehrmals in der Woche
W14_Q91A5,4,4 = Einmal in der Woche
W14_Q91A5,5,5 = Gar nicht/nie
W14_Q91A5,88,Weiss nicht
W14_Q91A5,99,keine Angabe
W14_Q91A6,Variable Label,Mediennutzung: Salzburger Nachrichten oder salzburg.at
W14_Q91A6,1,1 = Mehrmals taeglich
W14_Q91A6,2,2 = Einmal taeglich
W14_Q91A6,3,3 = Mehrmals in der Woche
W14_Q91A6,4,4 = Einmal in der Woche
W14_Q91A6,5,5 = Gar nicht/nie
W14_Q91A6,88,Weiss nicht
W14_Q91A6,99,keine Angabe
W14_Q91A7,Variable Label,Mediennutzung: Sonstige oesterreichische Tageszeitungen
W14_Q91A7,1,1 = Mehrmals taeglich
W14_Q91A7,2,2 = Einmal taeglich
W14_Q91A7,3,3 = Mehrmals in der Woche
W14_Q91A7,4,4 = Einmal in der Woche
W14_Q91A7,5,5 = Gar nicht/nie
W14_Q91A7,88,Weiss nicht
W14_Q91A7,99,keine Angabe
W14_Q91A8,Variable Label,Mediennutzung: orf.at
W14_Q91A8,1,1 = Mehrmals taeglich
W14_Q91A8,2,2 = Einmal taeglich
W14_Q91A8,3,3 = Mehrmals in der Woche
W14_Q91A8,4,4 = Einmal in der Woche
W14_Q91A8,5,5 = Gar nicht/nie
W14_Q91A8,88,Weiss nicht
W14_Q91A8,99,keine Angabe
W14_Q92A1,Variable Label,Mediennutzung: ORF (Nachrichten)
W14_Q92A1,1,1 = Mehrmals taeglich
W14_Q92A1,2,2 = Einmal taeglich
W14_Q92A1,3,3 = Mehrmals in der Woche
W14_Q92A1,4,4 = Einmal in der Woche
W14_Q92A1,5,5 = Gar nicht/nie
W14_Q92A1,88,Weiss nicht
W14_Q92A1,99,keine Angabe
W14_Q92A2,Variable Label,Mediennutzung: Privatfernsehen (Nachrichten)
W14_Q92A2,1,1 = Mehrmals taeglich
W14_Q92A2,2,2 = Einmal taeglich
W14_Q92A2,3,3 = Mehrmals in der Woche
W14_Q92A2,4,4 = Einmal in der Woche
W14_Q92A2,5,5 = Gar nicht/nie
W14_Q92A2,88,Weiss nicht
W14_Q92A2,99,keine Angabe
W14_Q93A1,Variable Label,Soziale Medien: Facebook
W14_Q93A1,1,1 = Mehrmals taeglich
W14_Q93A1,2,2 = Einmal taeglich
W14_Q93A1,3,3 = Mehrmals in der Woche
W14_Q93A1,4,4 = Einmal in der Woche
W14_Q93A1,5,5 = Gar nicht/nie
W14_Q93A1,88,Weiss nicht
W14_Q93A1,99,keine Angabe
W14_Q93A2,Variable Label,Soziale Medien: Twitter
W14_Q93A2,1,1 = Mehrmals taeglich
W14_Q93A2,2,2 = Einmal taeglich
W14_Q93A2,3,3 = Mehrmals in der Woche
W14_Q93A2,4,4 = Einmal in der Woche
W14_Q93A2,5,5 = Gar nicht/nie
W14_Q93A2,88,Weiss nicht
W14_Q93A2,99,keine Angabe
W14_Q93A3,Variable Label,Soziale Medien: Instagram
W14_Q93A3,1,1 = Mehrmals taeglich
W14_Q93A3,2,2 = Einmal taeglich
W14_Q93A3,3,3 = Mehrmals in der Woche
W14_Q93A3,4,4 = Einmal in der Woche
W14_Q93A3,5,5 = Gar nicht/nie
W14_Q93A3,88,Weiss nicht
W14_Q93A3,99,keine Angabe
W14_Q93A4,Variable Label,Soziale Medien: Youtube
W14_Q93A4,1,1 = Mehrmals taeglich
W14_Q93A4,2,2 = Einmal taeglich
W14_Q93A4,3,3 = Mehrmals in der Woche
W14_Q93A4,4,4 = Einmal in der Woche
W14_Q93A4,5,5 = Gar nicht/nie
W14_Q93A4,88,Weiss nicht
W14_Q93A4,99,keine Angabe
W14_Q93A5,Variable Label,Soziale Medien: WhatsApp
W14_Q93A5,1,1 = Mehrmals taeglich
W14_Q93A5,2,2 = Einmal taeglich
W14_Q93A5,3,3 = Mehrmals in der Woche
W14_Q93A5,4,4 = Einmal in der Woche
W14_Q93A5,5,5 = Gar nicht/nie
W14_Q93A5,88,Weiss nicht
W14_Q93A5,99,keine Angabe
W14_Q94A1,Variable Label,Soziale Medien Aktivitaet: Postings zu Corona anderer lesen
W14_Q94A1,1,1 = Mehrmals taeglich
W14_Q94A1,2,2 = Einmal taeglich
W14_Q94A1,3,3 = Mehrmals in der Woche
W14_Q94A1,4,4 = Einmal in der Woche
W14_Q94A1,5,5 = Gar nicht/nie
W14_Q94A1,88,Weiss nicht
W14_Q94A1,99,keine Angabe
W14_Q94A2,Variable Label,"Soziale Medien Aktivitaet: Postings liken, teilen oder retweeten"
W14_Q94A2,1,1 = Mehrmals taeglich
W14_Q94A2,2,2 = Einmal taeglich
W14_Q94A2,3,3 = Mehrmals in der Woche
W14_Q94A2,4,4 = Einmal in der Woche
W14_Q94A2,5,5 = Gar nicht/nie
W14_Q94A2,88,Weiss nicht
W14_Q94A2,99,keine Angabe
W14_Q94A3,Variable Label,Soziale Medien Aktivitaet: selber Postings zu Corona verfassen
W14_Q94A3,1,1 = Mehrmals taeglich
W14_Q94A3,2,2 = Einmal taeglich
W14_Q94A3,3,3 = Mehrmals in der Woche
W14_Q94A3,4,4 = Einmal in der Woche
W14_Q94A3,5,5 = Gar nicht/nie
W14_Q94A3,88,Weiss nicht
W14_Q94A3,99,keine Angabe
W14_Q95,Variable Label,Soziale Kontakte: Haeufigkeit ausgetauscht/Kontakt gehalten
W14_Q95,1,1 = Mehrmals taeglich
W14_Q95,2,2 = Einmal taeglich
W14_Q95,3,3 = Mehrmals in der Woche
W14_Q95,4,4 = Einmal in der Woche
W14_Q95,5,5 = Gar nicht/ nie
W14_Q95,88,Weiss nicht
W14_Q95,99,keine Angabe
W14_Q96,Variable Label,Risikobereitschaft
W14_Q96,0,0 = gar nicht bereit
W14_Q96,1,1
W14_Q96,2,2
W14_Q96,3,3
W14_Q96,4,4
W14_Q96,5,5
W14_Q96,6,6
W14_Q96,7,7
W14_Q96,8,8
W14_Q96,9,9
W14_Q96,10,10 = sehr bereit
W14_Q96,88,Weiss nicht
W14_Q97A1,Variable Label,Psychologie: habe Leben selbst in der Hand
W14_Q97A1,1,1 = Trifft voll und ganz zu
W14_Q97A1,2,2 = Trifft etwas zu
W14_Q97A1,3,3 = Trifft wenig zu
W14_Q97A1,4,4 = Trifft nicht zu
W14_Q97A1,88,Weiss nicht
W14_Q97A1,99,keine Angabe
W14_Q97A2,Variable Label,Psychologie: Belohnung durch Anstrengung
W14_Q97A2,1,1 = Trifft voll und ganz zu
W14_Q97A2,2,2 = Trifft etwas zu
W14_Q97A2,3,3 = Trifft wenig zu
W14_Q97A2,4,4 = Trifft nicht zu
W14_Q97A2,88,Weiss nicht
W14_Q97A2,99,keine Angabe
W14_Q97A3,Variable Label,Psychologie: Fremdbestimmung
W14_Q97A3,1,1 = Trifft voll und ganz zu
W14_Q97A3,2,2 = Trifft etwas zu
W14_Q97A3,3,3 = Trifft wenig zu
W14_Q97A3,4,4 = Trifft nicht zu
W14_Q97A3,88,Weiss nicht
W14_Q97A3,99,keine Angabe
W14_Q97A4,Variable Label,Psychologie: Schicksal
W14_Q97A4,1,1 = Trifft voll und ganz zu
W14_Q97A4,2,2 = Trifft etwas zu
W14_Q97A4,3,3 = Trifft wenig zu
W14_Q97A4,4,4 = Trifft nicht zu
W14_Q97A4,88,Weiss nicht
W14_Q97A4,99,keine Angabe
W14_Q98,Variable Label,Beten
W14_Q98,1,Nie
W14_Q98,2,Einmal im Jahr oder seltener
W14_Q98,3,Mehrmals im Jahr
W14_Q98,4,Ungefaehr 1 bis 3 mal im Monat
W14_Q98,5,Fast jede Woche
W14_Q98,6,Jede Woche
W14_Q98,7,Mehrmals in der Woche
W14_Q98,8,Einmal am Tag
W14_Q98,9,Mehrmals am Tag
W14_Q98,99,keine Angabe
W14_Q99,Variable Label,Besuch Gottesdienst
W14_Q99,1,Nie
W14_Q99,2,Einmal im Jahr oder seltener
W14_Q99,3,Mehrmals im Jahr
W14_Q99,4,Ungefaehr 1 bis 3 mal im Monat
W14_Q99,5,Fast jede Woche
W14_Q99,6,Jede Woche
W14_Q99,7,Mehrmals in der Woche
W14_Q99,8,Einmal am Tag
W14_Q99,9,Mehrmals am Tag
W14_Q99,99,keine Angabe
W14_START_DATE,Variable Label,START DATE WAVE 14
W14_WEIGHTD,Variable Label,DEMOGRAPHIC WEIGHT WAVE 14
W14_WEIGHTP,Variable Label,DEMOGRAPHIC + POLITICAL WEIGHT WAVE 14
W15_END_DATE,Variable Label,END DATE WAVE 15
W15_INTDUR,Variable Label,INTERVIEW DURATION WAVE 15
W15_PANELIST,Variable Label,PANELIST WAVE 15
W15_Q11,Variable Label,Erwerbstaetigkeit aktuell
W15_Q11,1,"Unselbststaendig erwerbstaetig (auch Lehrling), Privatwirtschaft"
W15_Q11,2,"Unselbststaendig erwerbstaetig (auch Lehrling), Oeffentlicher Dienst"
W15_Q11,3,Selbststaendig erwerbstaetig
W15_Q11,4,Arbeitslos
W15_Q11,5,Pensionist*in
W15_Q11,6,Ausschliesslich haushaltsfuehrend
W15_Q11,7,"Schueler/in, Student/in, Bildungskarenz"
W15_Q11,8,Sonstiges (Dauerhaft arbeitsunfaehig oder Praesenz-/Zivildiener)
W15_Q11,10,In Elternkarenz
W15_Q11,99,Keine Angabe
W15_Q12A1,Variable Label,Gesundheitliche Gefahr: Fuer mich persoenlich
W15_Q12A1,1,1 = sehr gross
W15_Q12A1,2,2 = gross
W15_Q12A1,3,3 = mittelmaessig
W15_Q12A1,4,4 = klein
W15_Q12A1,5,5 = sehr klein
W15_Q12A1,99,keine Angabe
W15_Q12A2,Variable Label,Gesundheitliche Gefahr: Fuer die oesterreichische Bevoelkerung
W15_Q12A2,1,1 = sehr gross
W15_Q12A2,2,2 = gross
W15_Q12A2,3,3 = mittelmaessig
W15_Q12A2,4,4 = klein
W15_Q12A2,5,5 = sehr klein
W15_Q12A2,99,keine Angabe
W15_Q13A1,Variable Label,Wirtschaftliche Gefahr: Fuer mich persoenlich
W15_Q13A1,1,1 = sehr gross
W15_Q13A1,2,2 = gross
W15_Q13A1,3,3 = mittelmaessig
W15_Q13A1,4,4 = klein
W15_Q13A1,5,5 = sehr klein
W15_Q13A1,99,keine Angabe
W15_Q13A2,Variable Label,Wirtschaftliche Gefahr: Fuer die oesterreichische Bevoelkerung
W15_Q13A2,1,1 = sehr gross
W15_Q13A2,2,2 = gross
W15_Q13A2,3,3 = mittelmaessig
W15_Q13A2,4,4 = klein
W15_Q13A2,5,5 = sehr klein
W15_Q13A2,99,keine Angabe
W15_Q14A1,Variable Label,Anzahl der Infizierten (amtlich)
W15_Q14A2,Variable Label,Anzahl der Infizierten (eigene Einschaetzung)
W15_Q15,Variable Label,Massnahmen der Regierung: Angemessenheit
W15_Q15,1,1 = ueberhaupt nicht ausreichend
W15_Q15,2,2 = eher nicht ausreichend
W15_Q15,3,3 = angemessen
W15_Q15,4,4 = eher zu stark
W15_Q15,5,5 = zu extrem
W15_Q15,88,Weiss nicht
W15_Q15,99,keine Angabe
W15_Q16,Variable Label,Massnahmen der Regierung: Effektivitaet
W15_Q16,1,1 = ueberhaupt nicht effektiv
W15_Q16,2,2 = eher nicht effektiv
W15_Q16,3,3 = teils effektiv
W15_Q16,4,4 = eher effektiv
W15_Q16,5,5 = sehr effektiv
W15_Q16,88,Weiss nicht
W15_Q16,99,keine Angabe
W15_Q17,Variable Label,Geschaetzte Dauer der Krise
W15_Q17,1,Weniger als 1 Monat
W15_Q17,2,1-2 Monate
W15_Q17,3,3-4 Monate
W15_Q17,4,5-6 Monate
W15_Q17,5,Mehr als 6 Monate
W15_Q17,88,Weiss nicht
W15_Q17,99,keine Angabe
W15_Q18,Variable Label,Geschaetzte Dauer der Krise: Mehr als 6 Monate
W15_Q18,1,6 Monate bis 1 Jahr
W15_Q18,2,1 bis 1.5 Jahre
W15_Q18,3,1.5 bis 2 Jahre
W15_Q18,4,2 bis 3 Jahre
W15_Q18,5,3 bis 5 Jahre
W15_Q18,6,Mehr als 5 Jahre
W15_Q18,88,Weiss nicht
W15_Q18,99,keine Angabe
W15_Q19,Variable Label,Gefahr zweite Welle des Coronavirus
W15_Q19,1,1 = sehr gross
W15_Q19,2,2 = gross
W15_Q19,3,3 = mittelmaessig
W15_Q19,4,4 = klein
W15_Q19,5,5 = sehr klein
W15_Q19,99,keine Angabe
W15_Q20A1,Variable Label,Corona-Ampel: Ich bin gut informiert
W15_Q20A1,1,1 = Trifft voll und ganz zu
W15_Q20A1,2,2 = Trifft eher zu
W15_Q20A1,3,3 = Teils-teils
W15_Q20A1,4,4 = Trifft eher nicht zu
W15_Q20A1,5,5 = Trifft gar nicht zu
W15_Q20A1,77,Ich kenne die Corona-Ampel nicht.
W15_Q20A1,88,Weiss nicht
W15_Q20A1,99,keine Angabe
W15_Q20A2,Variable Label,"Corona-Ampel: Ich weiss, was zu tun ist"
W15_Q20A2,1,1 = Trifft voll und ganz zu
W15_Q20A2,2,2 = Trifft eher zu
W15_Q20A2,3,3 = Teils-teils
W15_Q20A2,4,4 = Trifft eher nicht zu
W15_Q20A2,5,5 = Trifft gar nicht zu
W15_Q20A2,77,Ich kenne die Corona-Ampel nicht.
W15_Q20A2,88,Weiss nicht
W15_Q20A2,99,keine Angabe
W15_Q20A3,Variable Label,Corona-Ampel: Ich richte mein Verhalten an der Ampel aus
W15_Q20A3,1,1 = Trifft voll und ganz zu
W15_Q20A3,2,2 = Trifft eher zu
W15_Q20A3,3,3 = Teils-teils
W15_Q20A3,4,4 = Trifft eher nicht zu
W15_Q20A3,5,5 = Trifft gar nicht zu
W15_Q20A3,77,Ich kenne die Corona-Ampel nicht.
W15_Q20A3,88,Weiss nicht
W15_Q20A3,99,keine Angabe
W15_Q20A4,Variable Label,Corona-Ampel: Andere richten ihr Verhalten an der Ampel aus
W15_Q20A4,1,1 = Trifft voll und ganz zu
W15_Q20A4,2,2 = Trifft eher zu
W15_Q20A4,3,3 = Teils-teils
W15_Q20A4,4,4 = Trifft eher nicht zu
W15_Q20A4,5,5 = Trifft gar nicht zu
W15_Q20A4,77,Ich kenne die Corona-Ampel nicht.
W15_Q20A4,88,Weiss nicht
W15_Q20A4,99,keine Angabe
W15_Q21A1,Variable Label,Massnahme: Einschraenkung von Kontakten ausserhalb des Haushalts
W15_Q21A1,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A1,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A1,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A1,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A1,88,Weiss nicht
W15_Q21A1,99,keine Angabe
W15_Q21A10,Variable Label,Massnahme: Einschraenkung der Reisefreiheit
W15_Q21A10,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A10,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A10,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A10,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A10,88,Weiss nicht
W15_Q21A10,99,keine Angabe
W15_Q21A11,Variable Label,Massnahme: Weitgehendes Betretungsverbot des oeffentlichen Raums
W15_Q21A11,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A11,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A11,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A11,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A11,88,Weiss nicht
W15_Q21A11,99,keine Angabe
W15_Q21A12,Variable Label,Massnahme: Maskenpflicht in Geschaeften und oeffentlichen Verkehrsmitteln
W15_Q21A12,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A12,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A12,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A12,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A12,88,Weiss nicht
W15_Q21A12,99,keine Angabe
W15_Q21A13,Variable Label,"Massnamen: Verpflichtung fuer Betriebe, Daten ihrer Besucher zu erfassen"
W15_Q21A13,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A13,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A13,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A13,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A13,88,Weiss nicht
W15_Q21A13,99,keine Angabe
W15_Q21A2,Variable Label,"Massnahme: Schliessung von Gaststaetten, Cafés, Bars und Restaurants"
W15_Q21A2,1,1 = Massnahme sollte derzeit auf jeden Fall gelten
W15_Q21A2,2,2 = Massnahme sollte derzeit eher gelten
W15_Q21A2,3,3 = Massnahme sollte derzeit eher nicht gelten
W15_Q21A2,4,4 = Massnahme sollte derzeit auf keinen Fall gelten
W15_Q21A2,88,Weiss nicht
W15_Q21A2,99,keine Angabe
